question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,knowledge_area,difficulty,source
"What is the primary purpose of stakeholder analysis in business analysis?","To identify project sponsors","To understand stakeholder needs, interests, and influence","To create the project budget","To assign team responsibilities",B,"Stakeholder analysis helps BAs understand who the stakeholders are, their needs, interests, level of influence, and how they should be engaged throughout the initiative.",Business Analysis Planning and Monitoring,0.3,template
"Which elicitation technique involves a facilitator guiding a group through a structured discussion?","Document Analysis","Survey","Focus Group","Observation",C,"Focus groups involve a facilitator guiding a small group of stakeholders through a structured discussion to gather diverse perspectives and generate ideas.",Elicitation and Collaboration,0.4,template
"What is the purpose of a traceability matrix?","To track project costs","To link requirements to their source and to downstream artifacts","To schedule project activities","To assign resources",B,"A traceability matrix links requirements to their origin (business needs) and to downstream artifacts (design, test cases) ensuring complete coverage and impact analysis.",Requirements Life Cycle Management,0.35,template
"In strategy analysis, what does a SWOT analysis examine?","Schedule, Work, Options, Timeline","Strengths, Weaknesses, Opportunities, Threats","Systems, Workflows, Operations, Tools","Standards, Workflows, Outcomes, Targets",B,"SWOT analysis examines internal Strengths and Weaknesses along with external Opportunities and Threats to understand the current state and inform strategic decisions.",Strategy Analysis,0.3,template
"Which requirements characteristic ensures that a requirement can be verified through testing or inspection?","Traceable","Consistent","Testable","Complete",C,"Testable means the requirement is stated in a way that allows verification through testing, inspection, or demonstration that it has been met.",Requirements Analysis and Design Definition,0.4,template
"What is the primary goal of solution evaluation?","To design the solution","To assess whether the solution delivers expected value","To implement the solution","To document requirements",B,"Solution evaluation assesses whether and how well a solution meets the business need and delivers expected value to stakeholders.",Solution Evaluation,0.35,template
"Which document describes how BA activities will be performed on an initiative?","Project Charter","Business Case","Business Analysis Plan","Requirements Package",C,"The Business Analysis Plan describes the planned approach for business analysis work including stakeholder engagement, governance, and information management.",Business Analysis Planning and Monitoring,0.35,template
"What technique uses anonymous rounds of feedback to build consensus among experts?","Brainstorming","Delphi Technique","Interviews","Workshops",B,"The Delphi technique uses multiple rounds of anonymous questionnaires with controlled feedback to help experts reach consensus without group bias.",Elicitation and Collaboration,0.5,template
"Requirements prioritization using MoSCoW categorizes requirements as:","Must, Should, Could, Won't","Major, Standard, Critical, Optional, Wishlist","Mandatory, Secondary, Conditional, Optional, Wanted","Main, Supportive, Conditional, Wishlist",A,"MoSCoW prioritization categorizes requirements as Must have, Should have, Could have, and Won't have (this time), helping stakeholders make scope decisions.",Requirements Life Cycle Management,0.3,template
"What is the purpose of defining the future state in strategy analysis?","To document current problems","To describe the desired end state that addresses business needs","To create the project schedule","To assign resources",B,"The future state definition describes the desired conditions that will exist after the change is implemented, addressing identified business needs and opportunities.",Strategy Analysis,0.4,template
"A use case diagram primarily shows:","Data relationships","Actors and their interactions with the system","Process flow","Class hierarchies",B,"Use case diagrams show actors (users or external systems) and their interactions with the system through use cases, depicting functional requirements at a high level.",Requirements Analysis and Design Definition,0.35,template
"Key Performance Indicators (KPIs) are used in solution evaluation to:","Design the user interface","Measure solution performance against objectives","Create test cases","Document requirements",B,"KPIs measure how well the solution performs against defined business objectives, helping assess whether expected value is being delivered.",Solution Evaluation,0.4,template
"What is the relationship between business needs and requirements?","They are the same thing","Business needs drive requirements","Requirements drive business needs","They are unrelated",B,"Business needs are problems or opportunities that drive the initiative; requirements are conditions or capabilities needed to address those business needs.",Strategy Analysis,0.25,template
"Which elicitation technique is best for understanding how users actually perform their work?","Surveys","Interviews","Observation","Document Analysis",C,"Observation involves watching users perform their actual work to understand processes, identify unstated needs, and discover gaps between documented and actual procedures.",Elicitation and Collaboration,0.35,template
"What does backward traceability ensure?","Requirements link to test cases","Requirements link to their origin in business needs","Requirements link to code","Requirements link to user stories",B,"Backward traceability ensures requirements can be traced back to their origin in business needs, goals, or objectives, confirming the requirement's purpose.",Requirements Life Cycle Management,0.45,template
