question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,ka,difficulty,difficulty_b,concept_tags
What is the primary purpose of stakeholder analysis?,Identify stakeholders,Document requirements,Manage risks,Allocate resources,A,Stakeholder analysis identifies all parties affected by or affecting the project,Business Analysis Planning and Monitoring,Medium,,"stakeholder,analysis,planning"
Which technique is used to understand stakeholder needs and expectations?,Interviews,Brainstorming,Root cause analysis,Cost-benefit analysis,A,Interviews are a primary elicitation technique to gather stakeholder needs and expectations,Elicitation and Collaboration,Easy,,"elicitation,stakeholder,interviews"
What is the purpose of requirements prioritization?,To sequence implementation,To validate completeness,To allocate resources efficiently,All of the above,D,"Requirements prioritization helps with implementation sequencing, validation, and resource allocation",Requirements Life Cycle Management,Medium,,"prioritization,requirements,management"
Which analysis is performed to understand the organization's strategic direction?,SWOT analysis,Gap analysis,Feasibility study,All of the above,D,All three analyses help understand organizational strategy and direction,Strategy Analysis,Hard,,"strategy,swot,gap-analysis,feasibility"
What is the purpose of data modeling?,Represent data structure,Define business rules,Document workflows,Track changes,A,Data modeling represents the structure and relationships of data entities,Requirements Analysis and Design Definition,Medium,,"data-modeling,structure,entities"
Which technique is used to measure solution effectiveness?,Metrics and KPIs,Surveys,Observation,All of the above,D,All techniques can be used to measure how well a solution meets objectives,Solution Evaluation,Easy,,"metrics,kpi,measurement,evaluation"
What is a key component of the BA Planning and Monitoring knowledge area?,Stakeholder engagement approach,Requirements elicitation,Solution design,Implementation roadmap,A,Stakeholder engagement is a critical component of BA planning,Business Analysis Planning and Monitoring,Hard,,"planning,stakeholder-engagement,monitoring"
Which elicitation technique involves observing users in their environment?,Job shadowing,Surveys,Document analysis,Prototyping,A,Job shadowing involves directly observing users performing their tasks,Elicitation and Collaboration,Medium,,"elicitation,observation,job-shadowing"
What is the purpose of requirements traceability?,Track requirement relationships,Validate completeness,Support impact analysis,All of the above,D,"Traceability tracks relationships, supports validation, and enables impact analysis",Requirements Life Cycle Management,Hard,,"traceability,relationships,impact-analysis"
Which strategic analysis technique identifies internal strengths and weaknesses?,SWOT analysis,PEST analysis,Porter's Five Forces,Balanced Scorecard,A,"SWOT (Strengths, Weaknesses, Opportunities, Threats) analyzes internal and external factors",Strategy Analysis,Easy,,"swot,strategic-analysis,internal-factors"
"A new initiative requires integrating two legacy systems. You anticipate significant stakeholder resistance due to past failures. In planning the BA approach (3.1), what is your primary concern?",Defining detailed use cases upfront to mitigate risk.,Securing formal sign-off for all documentation.,Tailoring the engagement model to address low trust and high influence stakeholders.,Selecting COTS software to accelerate delivery.,C,"The planning approach (3.1) must align with the stakeholder context (inputs from 3.2). Anticipating resistance requires adjusting the engagement strategy to build trust and manage influential resistance,,.",Business Analysis Planning and Monitoring,Medium,0.35,"BA-Planning,Stakeholder-Engagement-Approach,Adaptability,"
"The regulatory environment surrounding your project is highly complex and volatile. As you begin to Plan Business Analysis Approach (3.1), what methodology characteristic should you prioritize?",A predictive approach requiring full formal documentation of requirements.,An adaptive approach allowing continuous revision and risk mitigation.,A hybrid approach balancing high-level scope and low-level detail.,An iterative approach focused only on technology solutions.,B,"High environmental uncertainty (context) favors an Adaptive approach which focuses on rapid delivery in short iterations and accepts a higher degree of uncertainty regarding the overall solution delivery, preferring adjustment over rigorous upfront definition.",Business Analysis Planning and Monitoring,Hard,2.1,"BA-Planning,Predictive-Adaptive,Risk-Management,"
A business analyst is defining the structure for their forthcoming requirement package. What should guide the level of formality and detail of this package?,Organizational standards and the complexity of the change.,The preference of the Project Manager.,The availability of specialized modeling tools.,The number of domain subject matter experts involved.,A,"The level of formality for deliverables is determined by organizational methodologies, required compliance/regulations, complexity, risk, and the long-term need for maintenance, often falling along the continuum between predictive and adaptive styles,,.",Business Analysis Planning and Monitoring,Medium,-0.42,"BA-Planning,Deliverables,Formality,"
The purpose of the Plan Business Analysis Approach task (3.1) is best described as:,"Defining the timing, sequence, and deliverables of BA work to coordinate efforts.",Identifying all relevant stakeholders and their communication needs.,Establishing the mechanism for making decisions about requirements and designs.,Determining the business need and assessing potential risks.,A,"The purpose of Plan Business Analysis Approach (3.1) is to define an appropriate method to conduct business analysis activities, including determining how and when tasks will be performed and the deliverables produced,.",Business Analysis Planning and Monitoring,Easy,-1.85,"BA-Planning,Purpose,"
Which element of the Plan Business Analysis Approach task involves selecting whether requirements will be defined before implementation begins or iteratively throughout delivery?,Planning Approach.,Business Analysis Activities.,Timing of Business Analysis Work.,Formality and Level of Detail.,A,"The Planning Approach element involves assessing predictive versus adaptive approaches, which fundamentally determines whether requirements are defined upfront or progressively elaborated.",Business Analysis Planning and Monitoring,Easy,-2.4,"BA-Planning,Planning-Approach,Predictive-Adaptive,"
The primary output of the Plan Business Analysis Approach task (3.1) is the:,Business Analysis Approach.,Stakeholder Engagement Approach.,Governance Approach.,Business Analysis Performance Assessment.,A,"The output of Plan Business Analysis Approach (3.1) is the Business Analysis Approach, which identifies activities, performers, timing, sequencing, and deliverables.",Business Analysis Planning and Monitoring,Easy,-1.25,"BA-Planning,Outputs,"
"While defining the BA Approach, the business analyst uses Expert Judgment (a guideline/tool) to determine the best approach. Which source typically contributes to Expert Judgment?",Organizational Centres of Excellence.,Prior experiences of the business analyst and stakeholders.,Consultants or industry groups.,All of the above.,D,"Expert Judgment draws from a wide range of sources, including individuals on the initiative, internal centers of excellence, consultants, associations, and prior experience.",Business Analysis Planning and Monitoring,Easy,-1.6,"BA-Planning,Expert-Judgment,"
A Business Analyst determined that a project's high complexity and the organization’s low tolerance for uncertainty necessitate a predictive approach. Which factor most influenced this decision?,Stakeholder attitude regarding collaboration.,The high risk associated with an incorrect implementation.,The availability of tools and technology.,The ability to reuse historical requirements.,B,"Predictive approaches focus on minimizing upfront uncertainty and minimizing risk, and are often preferred when the risk of an incorrect implementation is unacceptably high.",Business Analysis Planning and Monitoring,Medium,0.68,"BA-Planning,Risk,Predictive,"
