row_number,question_text,correct_answer,knowledge_area,concept_id,concept_name,relevance,reasoning
2,What is the primary purpose of stakeholder analysis?...,A,Business Analysis Planning and Monitoring,57cb4345-6a1d-4917-ac4e-9e2c3f6849d8,Stakeholder,1.0,Matched from CSV tag 'stakeholder' (score: 100%)
2,What is the primary purpose of stakeholder analysis?...,A,Business Analysis Planning and Monitoring,3abc5def-6fd4-4f40-8434-979965f341c8,Analysis,1.0,Matched from CSV tag 'analysis' (score: 100%)
2,What is the primary purpose of stakeholder analysis?...,A,Business Analysis Planning and Monitoring,4e9a6621-19a9-4f82-b273-25321969d176,Planning,1.0,Matched from CSV tag 'planning' (score: 100%)
3,Which technique is used to understand stakeholder needs and expectations?...,A,Elicitation and Collaboration,57cb4345-6a1d-4917-ac4e-9e2c3f6849d8,Stakeholder,1.0,Matched from CSV tag 'stakeholder' (score: 100%)
3,Which technique is used to understand stakeholder needs and expectations?...,A,Elicitation and Collaboration,e49285a4-b6df-497c-a59d-a1d804675e3a,Interviews,1.0,Matched from CSV tag 'interviews' (score: 100%)
4,What is the purpose of requirements prioritization?...,D,Requirements Life Cycle Management,6b6a18ee-77c4-4565-bfd9-0b2a4633cda6,Requirements,1.0,Matched from CSV tag 'requirements' (score: 100%)
4,What is the purpose of requirements prioritization?...,D,Requirements Life Cycle Management,9b221abd-8261-49d6-b39f-644cb981ef09,Management,1.0,Matched from CSV tag 'management' (score: 100%)
5,Which analysis is performed to understand the organization's strategic direction?...,D,Strategy Analysis,1e9662d6-1f44-4718-8d4a-14441a2d5478,Strategy,1.0,Matched from CSV tag 'strategy' (score: 100%)
5,Which analysis is performed to understand the organization's strategic direction?...,D,Strategy Analysis,38c0c5ac-081b-4332-9d33-4ed47bc6ab63,Swot,1.0,Matched from CSV tag 'swot' (score: 100%)
5,Which analysis is performed to understand the organization's strategic direction?...,D,Strategy Analysis,06c6857e-ba81-43bc-bbae-22857ec03d5c,Gap-Analysis,1.0,Matched from CSV tag 'gap-analysis' (score: 100%)
6,What is the purpose of data modeling?...,A,Requirements Analysis and Design Definition,1fa783f7-9a73-4875-b318-9aede07d7f7c,Data-Modeling,1.0,Matched from CSV tag 'data-modeling' (score: 100%)
6,What is the purpose of data modeling?...,A,Requirements Analysis and Design Definition,188a5a71-8afe-45cc-aab9-e9335ff53515,Structure,1.0,Matched from CSV tag 'structure' (score: 100%)
7,Which technique is used to measure solution effectiveness?...,D,Solution Evaluation,d3af9ebb-998b-487a-9935-652e52418bb5,Metrics,1.0,Matched from CSV tag 'metrics' (score: 100%)
7,Which technique is used to measure solution effectiveness?...,D,Solution Evaluation,06e97598-0061-4315-8efa-7ac4ddcf4b24,Kpi,1.0,Matched from CSV tag 'kpi' (score: 100%)
7,Which technique is used to measure solution effectiveness?...,D,Solution Evaluation,859291c5-000c-4f12-a952-d890fb700221,Measurement,1.0,Matched from CSV tag 'measurement' (score: 100%)
7,Which technique is used to measure solution effectiveness?...,D,Solution Evaluation,8e089081-0e77-425c-85a7-6c01081516e9,Evaluation,1.0,Matched from CSV tag 'evaluation' (score: 100%)
8,What is a key component of the BA Planning and Monitoring knowledge area?...,A,Business Analysis Planning and Monitoring,4e9a6621-19a9-4f82-b273-25321969d176,Planning,1.0,Matched from CSV tag 'planning' (score: 100%)
8,What is a key component of the BA Planning and Monitoring knowledge area?...,A,Business Analysis Planning and Monitoring,47f6eecb-08bc-49b7-9e67-693139576027,Stakeholder-Engagement,1.0,Matched from CSV tag 'stakeholder-engagement' (score: 100%)
9,Which elicitation technique involves observing users in their environment?...,A,Elicitation and Collaboration,e8e94307-3da0-44e9-9468-4745a7548ee3,Observation,1.0,Matched from CSV tag 'observation' (score: 100%)
9,Which elicitation technique involves observing users in their environment?...,A,Elicitation and Collaboration,2033890c-6f4a-41e1-b491-6e691aa50209,Job-Shadowing,1.0,Matched from CSV tag 'job-shadowing' (score: 100%)
10,What is the purpose of requirements traceability?...,D,Requirements Life Cycle Management,da9b8fce-36b0-43d5-84f1-d3e6c0cb7cb3,Relationships,1.0,Matched from CSV tag 'relationships' (score: 100%)
10,What is the purpose of requirements traceability?...,D,Requirements Life Cycle Management,9860b4d6-a5f2-4b31-9fa2-50db99d137d1,Impact-Analysis,1.0,Matched from CSV tag 'impact-analysis' (score: 100%)
11,Which strategic analysis technique identifies internal strengths and weaknesses?...,A,Strategy Analysis,38c0c5ac-081b-4332-9d33-4ed47bc6ab63,Swot,1.0,Matched from CSV tag 'swot' (score: 100%)
11,Which strategic analysis technique identifies internal strengths and weaknesses?...,A,Strategy Analysis,447df6f8-6fef-4907-8fbf-854adcbd0efb,Strategic-Analysis,1.0,Matched from CSV tag 'strategic-analysis' (score: 100%)
