course_id,title,corpus_section,knowledge_area,concept_count,concept_names,content_preview,estimated_read_time
1b8a4860-156f-4d06-8393-85c4088db2d9,Purpose of the BABOK[®] Guide,1.1,unknown,0,,The primary purpose of the _BABOK[®] Guide_ is to define the profession of business analysis and pro...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,What is Business Analysis?,1.2,unknown,0,,Business analysis is the practice of enabling change in an enterprise by defining needs and recommen...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Who is a Business Analyst?,1.3,unknown,0,,A business analyst is any person who performs business analysis tasks described in the _BABOK[®] Gui...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Structure of the BABOK[®] Guide,1.4,unknown,0,,The core content of the _BABOK[®] Guide_ is composed of business analysis tasks organized into knowl...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Key Concepts,1.4.1,unknown,0,,The Business Analysis Key Concepts chapter provides a basic understanding of the central ideas neces...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Knowledge Areas - Part 1,1.4.2,unknown,0,,Knowledge areas represent areas of specific business analysis expertise that encompass several tasks...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Knowledge Areas - Part 2,1.4.2,unknown,0,," constraints that prevent the full realization of the value.

The following diagram shows a general ...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Tasks - Part 1,1.4.3,unknown,0,,A task is a discrete piece of work that may be performed formally or informally as part of business ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Tasks - Part 2,1.4.3,unknown,0,," Inputs section includes a visual representation of the inputs and outputs, the other tasks that use...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Underlying Competencies,1.4.4,unknown,0,,"Underlying competencies reflect knowledge, skills, behaviours, characteristics, and personal qualiti...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Techniques,1.4.5,unknown,0,,"Techniques provide additional information on ways that a task may be performed.

The list of techniq...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Perspectives - Part 1,1.4.6,unknown,0,,Perspectives are used within business analysis work to provide focus to tasks and techniques specifi...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Perspectives - Part 2,1.4.6,unknown,0,," In the Business Process Management perspective, frameworks are listed instead of approaches.

## **...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,The Business Analysis Core Concept Model™ - Part 1,2.1,unknown,0,,The _Business Analysis Core Concept Model™_ ( _BACCM™_ ) is a conceptual framework for business anal...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,The Business Analysis Core Concept Model™ - Part 2,2.1,unknown,0,," by<br>stakeholders or enabling stakeholders to take advantage of<br>an opportunity.|

Business Anal...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,The Business Analysis Core Concept Model™ - Part 3,2.1,unknown,0,, knowledge area description there are examples of how the core concepts may be used and/or applied d...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,The Business Analysis Core Concept Model™ - Part 4,2.1,unknown,0,, Business Analysis Information Management' it includes all the examples listed above. If the _BABOK[...,2
1b8a4860-156f-4d06-8393-85c4088db2d9,Requirements Classification Schema,2.3,unknown,0,,"For the purposes of the _BABOK[®] Guide_ , the following classification schema describes requirement...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Stakeholders,2.4,unknown,0,,Each task includes a list of stakeholders who are likely to participate in the execution of that tas...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Business Analyst,2.4.1,unknown,0,,The business analyst is inherently a stakeholder in all business analysis activities. The _BABOK[®] ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Supplier,2.4.10,unknown,0,,A supplier is a stakeholder outside the boundary of a given organization or organizational unit. Sup...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Tester,2.4.11,unknown,0,,Testers are responsible for determining how to verify that the solution meets the requirements defin...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Customer,2.4.2,unknown,0,,A customer uses or may use products or services produced by the enterprise and may have contractual ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Domain Subject Matter Expert,2.4.3,unknown,0,,A domain subject matter expert is any individual with in-depth knowledge of a topic relevant to the ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,End User,2.4.4,unknown,0,,End users are stakeholders who directly interact with the solution. End users can include all partic...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Implementation Subject Matter Expert,2.4.5,unknown,0,,An implementation subject matter expert is any stakeholder who has specialized knowledge regarding t...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Operational Support,2.4.6,unknown,0,,Operational support is responsible for the day-to-day management and maintenance of a system or prod...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Project Manager,2.4.7,unknown,0,,Project managers are responsible for managing the work required to deliver a solution that meets a b...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Regulator,2.4.8,unknown,0,,Regulators are responsible for the definition and enforcement of standards. Standards can be imposed...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Sponsor,2.4.9,unknown,0,,Sponsors are responsible for initiating the effort to define a business need and develop a solution ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Requirements and Designs - Part 1,2.5,unknown,0,,"Eliciting, analyzing, validating, and managing requirements have consistently been recognized as key...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Requirements and Designs - Part 2,2.5,unknown,0,,"|
|Record and access a medical patient’s<br>history.|Screen mock-up showing specific<br>data fields....",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Requirements and Designs - Part 3,2.5,unknown,0,, tasks organize and coordinate the efforts of business analysts and stakeholders. These tasks produc...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Requirements and Designs - Part 4,2.5,unknown,0,, the six core concepts. The following table describes the usage and application of each of the core ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Requirements and Designs - Part 5,2.5,unknown,0,," to develop<br>an efficient business analysis approach.|

Business Analysis Planning and Monitoring
...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Purpose,3.1.1,ba-planning,2,"Methods for Business Analysis Activities, Planning Business Analysis Activities",The purpose of Plan Business Analysis Approach is to define an appropriate method to conduct busines...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Description,3.1.2,ba-planning,5,"Alignment of Business Analysis to Change Goals, Coordination of Business Analysis Tasks, Selection of Techniques and Tools, Stakeholder Collaboration for Standards Development, Tailoring Business Analysis Processes",Business analysis approaches describe the overall method that will be followed when performing busin...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Inputs,3.1.3,ba-planning,3,"Business Analysis Needs Identification, Evolving Understanding of Needs, Input Elements for Business Analysis Planning",- **Needs** : the business analysis approach is shaped by the problem or opportunity faced by the or...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 1,3.1.4,ba-planning,6,"Adaptive Planning Approach, Business Analysis Activities Integration, Complexity and Risk Assessment, Formality of Documentation, Stakeholder Acceptance of Business Analysis Approach, Timing of Business Analysis Work","## **.1 Planning Approach**

There are various planning methods used across perspectives, industries...",2
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 2,3.1.4,ba-planning,6,"Adaptive Planning Approach, Business Analysis Activities Integration, Complexity and Risk Assessment, Formality of Documentation, Stakeholder Acceptance of Business Analysis Approach, Timing of Business Analysis Work"," affect the approach include:

- the change is complex and high risk,

- the organization is in, or ...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 3,3.1.4,ba-planning,6,"Adaptive Planning Approach, Business Analysis Activities Integration, Complexity and Risk Assessment, Formality of Documentation, Stakeholder Acceptance of Business Analysis Approach, Timing of Business Analysis Work"," associated activities and tasks, or

Plan Business Analysis Approach

Business Analysis Planning an...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 4,3.1.4,ba-planning,6,"Adaptive Planning Approach, Business Analysis Activities Integration, Complexity and Risk Assessment, Formality of Documentation, Stakeholder Acceptance of Business Analysis Approach, Timing of Business Analysis Work",",

- any pre-selected framework, methodology, tools, and/or techniques

Business Analysis Planning a...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Guidelines and Tools,3.1.5,ba-planning,3,"Business Policies Impact on Analysis, Expert Judgment in Business Analysis, Methodologies and Frameworks in Business Analysis",- **Business Analysis Performance Assessment** : provides results of previous assessments that shoul...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Techniques,3.1.6,ba-planning,14,"Brainstorming for Business Analysis, Business Case Evaluation, Conducting Interviews for Planning, Document Analysis in Planning, Estimation of Business Analysis Activities, Financial Analysis for Delivery Options, Functional Decomposition Technique, Item Tracking in Planning Activities, Lessons Learned Analysis, Process Modelling for Business Analysis, Risk Analysis and Management in Planning, Scope Modelling for Solution Boundaries, Surveys and Questionnaires in Business Analysis, Workshops for Collaborative Planning","- **Brainstorming** : used to identify possible business analysis activities, techniques, risks and ...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Stakeholders,3.1.7,ba-planning,4,"Project Manager Role in Business Analysis, Regulator Approval in Business Analysis, Sponsor's Influence on Business Analysis Approach, Stakeholder Engagement Planning",- **Domain Subject Matter Expert** : can be a source of risk when their involvement is required and ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Outputs,3.1.8,ba-planning,5,"Activity Sequencing in Business Analysis, Business Analysis Approach Identification, Business Analysis Techniques Utilization, Deliverables Definition, Integration of Outputs",- **Business Analysis Approach** : identifies the business analysis approach and activities that wil...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Purpose,3.2.1,ba-planning,4,"Effective Relationship Maintenance, Engagement Strategy Development, Stakeholder Analysis Importance, Stakeholder Identification Techniques",The purpose of Plan Stakeholder Engagement is to plan an approach for establishing and maintaining e...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Description,3.2.2,ba-planning,5,"Collaboration Approaches for Stakeholders, Communication Strategies for Stakeholder Engagement, Complexity of Stakeholder Engagement, Scalability of Stakeholder Management Techniques, Stakeholder Risk Planning",Plan Stakeholder Engagement involves conducting a thorough stakeholder analysis to identify all of t...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Inputs,3.2.3,ba-planning,1,Evolving Business Needs,- **Needs** : understanding the business need and the parts of the enterprise that it affects helps ...,1
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 1,3.2.4,ba-planning,5,"Decision-Making Authority Assessment, Influence Level Evaluation, Stakeholder Attitude Analysis, Stakeholder Collaboration Planning, Stakeholder Communication Needs Assessment","## **.1 Perform Stakeholder Analysis**

Stakeholder analysis involves identifying the stakeholders (...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 2,3.2.4,ba-planning,5,"Decision-Making Authority Assessment, Influence Level Evaluation, Stakeholder Attitude Analysis, Stakeholder Collaboration Planning, Stakeholder Communication Needs Assessment","- business goals, objectives of the initiative, and any proposed solutions,

- business analysis in ...",2
1b8a4860-156f-4d06-8393-85c4088db2d9,Elements - Part 3,3.2.4,ba-planning,5,"Decision-Making Authority Assessment, Influence Level Evaluation, Stakeholder Attitude Analysis, Stakeholder Collaboration Planning, Stakeholder Communication Needs Assessment"," across the initiative. Some considerations when planning collaboration include:

- timing and frequ...",1
1b8a4860-156f-4d06-8393-85c4088db2d9,Guidelines and Tools,3.2.5,ba-planning,0,,- **Business Analysis Performance Assessment** : provides results of previous assessments that shoul...,1
